agency,state,state_control,now_part_of,last_ruler
Orissa States Agency,Athmallik,Princely state,,
Orissa States Agency,Bamra,Princely state,,
Orissa States Agency,Baramba,Princely state,,
Orissa States Agency,Baudh,Princely state,,
Orissa States Agency,Bonai,Princely state,,
Orissa States Agency,Daspalla,Princely state,,
Orissa States Agency,Dhenkanal,Princely state,,
Orissa States Agency,Gangpur,Princely state,,
Orissa States Agency,Hindol,Princely state,,
Orissa States Agency,Kalahandi(Karond),Princely state,,
Orissa States Agency,Keonjhar,Princely state,,
Orissa States Agency,Khandpara,Princely state,,
Orissa States Agency,Kharsawan,Princely state,,
Orissa States Agency,Mayurbhanj,Princely state,,
Orissa States Agency,Narsinghpur,Princely state,,
Orissa States Agency,Nayagarh,Princely state,,
Orissa States Agency,Nilgiri,Princely state,,
Orissa States Agency,PalLahara,Princely state,,
Orissa States Agency,Patna(Balangir),Princely state,,
Orissa States Agency,Rairakhol,Princely state,,
Orissa States Agency,Ranpur,Princely state,,
Orissa States Agency,Seraikela,Princely state,,
Orissa States Agency,Sonepur,Princely state,,
Orissa States Agency,Talcher,Princely state,,
Orissa States Agency,Tigiria,Princely state,,
Chhattisgarh States Agency,Bastar,Princely state,,
Chhattisgarh States Agency,Changbhakar,Princely state,,
Chhattisgarh States Agency,Chhuikandan,Princely state,,
Chhattisgarh States Agency,Jashpur,Princely state,,
Chhattisgarh States Agency,Kanker,Princely state,,
Chhattisgarh States Agency,Kawardha,Princely state,,
Chhattisgarh States Agency,Khairagarh,Princely state,,
Chhattisgarh States Agency,Koriya(Korea),Princely state,,
Chhattisgarh States Agency,Nandgaon,Princely state,,
Chhattisgarh States Agency,Raigarh,Princely state,,
Chhattisgarh States Agency,Sakti,Princely state,,
Chhattisgarh States Agency,Sarangarh,Princely state,,
Chhattisgarh States Agency,Surguja,Princely state,,
Chhattisgarh States Agency,Udaipur(Dharamjaigarh),Princely state,,
Bengal States Agency,CoochBehar,Princely state,,
Bengal States Agency,Tripura,Princely state,,
Mahi Kantha Agency,Idar,Princely state,,
Mahi Kantha Agency,Danta,Princely state,,
Mahi Kantha Agency,Vijaynagar(Pol),Princely state,,
Mahi Kantha Agency,Malpur,Princely state,,
Mahi Kantha Agency,Mansa,Princely state,,
Mahi Kantha Agency,Mohanpur,Princely state,,
Mahi Kantha Agency,Ilol,Princely state,,
Mahi Kantha Agency,Katosan,Princely state,,
Mahi Kantha Agency,Ambaliara,Princely state,,
Mahi Kantha Agency,Pethapur,Princely state,,
Mahi Kantha Agency,Punadra,Princely state,,
Mahi Kantha Agency,Ranasa,Princely state,,
Mahi Kantha Agency,Dabha,Princely state,,
Mahi Kantha Agency,Dadhalia,Princely state,,
Mahi Kantha Agency,Rupal,Princely state,,
Mahi Kantha Agency,Varsoda,Princely state,,
Mahi Kantha Agency,Vasna,Princely state,,
Annexed during the British Raj,Ballabhgarh,Princely state,,
Annexed during the British Raj,Banpur,Princely state,,
Annexed during the British Raj,BhaddaiyanRaj,Princely state,,
Annexed during the British Raj,Bijeraghogarh,Princely state,,
Annexed during the British Raj,Chirgaon,Princely state,,
Annexed during the British Raj,Khaddi,Princely state,,
Annexed during the British Raj,Kulpahar,Princely state,,
Annexed during the British Raj,Makrai,Princely state,,
Annexed during the British Raj,Purwa,Princely state,,
Annexed during the British Raj,Shahgarh,Princely state,,
Annexed during the British Raj,Tiroha,Princely state,,
Annexed during the British Raj,Tulsipur,Princely state,,
Annexed during the British Raj,Udaipur,Princely state,,
